from,to,weight
grief,ecstasy,0.7142857142857143
grief,serenity,0.4
grief,admiration,2.6666666666666665
grief,acceptance,1.7272727272727273
grief,terror,3.727272727272727
grief,apprehension,3.3333333333333335
grief,amazement,2.1
grief,distraction,3.4
grief,pensiveness,3.6
grief,loathing,3.3
grief,boredom,1.3076923076923077
grief,rage,1.9166666666666667
grief,annoyance,3.0
grief,vigilance,2.769230769230769
grief,interest,0.7777777777777778
grief,optimism,0.3
grief,hope,0.1666666666666666
grief,anxiety,4.2
grief,love,2.5384615384615383
grief,guilt,2.4444444444444446
grief,delight,0.4
grief,submission,3.0
grief,curiosity,0.8461538461538461
grief,sentimentality,4.25
grief,awe,0.8888888888888888
grief,despair,5.923076923076923
grief,shame,3.0
grief,disappointment,4.777777777777778
grief,unbelief,2.4615384615384617
grief,outrage,2.3333333333333335
grief,remorse,4.875
grief,envy,2.2857142857142856
grief,pessimism,5.8
grief,contempt,3.4
grief,cynicism,2.5
grief,morbidness,4.285714285714286
grief,aggressiveness,0.2
grief,pride,0.3333333333333333
grief,dominance,0.5
pensiveness,joy,2.0
pensiveness,trust,1.5555555555555556
pensiveness,fear,3.8
pensiveness,surprise,1.0833333333333333
pensiveness,sadness,4.375
pensiveness,disgust,3.1
pensiveness,anger,2.625
pensiveness,anticipation,0.9090909090909092
pensiveness,ecstasy,1.9
pensiveness,serenity,0.5
pensiveness,admiration,1.4444444444444444
pensiveness,acceptance,1.25
pensiveness,terror,2.875
pensiveness,apprehension,5.111111111111111
pensiveness,amazement,2.0
pensiveness,distraction,2.909090909090909
pensiveness,grief,4.454545454545454
pensiveness,loathing,1.8333333333333333
pensiveness,boredom,2.142857142857143
pensiveness,rage,1.1666666666666667
pensiveness,annoyance,2.3
pensiveness,vigilance,2.2142857142857144
pensiveness,interest,0.875
pensiveness,optimism,2.0
pensiveness,hope,0.8125
pensiveness,anxiety,4.8
pensiveness,love,1.375
pensiveness,guilt,3.4615384615384617
pensiveness,delight,2.0
pensiveness,submission,1.9090909090909092
pensiveness,curiosity,1.8888888888888888
pensiveness,sentimentality,4.181818181818182
pensiveness,awe,1.5555555555555556
pensiveness,despair,3.4615384615384617
pensiveness,shame,2.857142857142857
pensiveness,disappointment,4.538461538461538
pensiveness,unbelief,2.5384615384615383
pensiveness,outrage,2.75
pensiveness,remorse,2.5
pensiveness,envy,2.5833333333333335
pensiveness,pessimism,5.6
pensiveness,contempt,3.2222222222222223
